movie_id,Rating,gross_income_doller,budget,Vote,Gross,rm_apr,rm_aug,rm_dec,rm_feb,rm_jan,rm_jul,rm_jun,rm_mar,rm_may,rm_nov,rm_oct,rm_sep,Year,Duration,MetaScore,Name,producer,producer_no,pop_rank_producer,Producer_fb_like,actor_1_name,actor_1_no,pop_rank_actor_1,actor_1_fb_likes,actor_2_name,actor_2_no,pop_rank_actor_2,actor_2_fb_likes,actor_3_name,actor_3_no,pop_rank_actor_3,actor_3_fb_likes,composer,composer_no,pop_rank_composer,composer_fb_like,directors,director_no,pop_rank_director,director_fb_likes,total_rank,total_fb_like, Musical, Mystery,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Romance,Sci_Fi,Sport,Thriller,War,Western,Assamese,Bengali,Bhojpuri,English,Gujarati,Hindi,Kannada,Malayalam,Mandarin,Marathi,Punjabi,Tamil,Telugu,Tibetan,Urdu,class
8650270,6.9,5552,1400000,316,675101,0,0,0,0,0,0,0,0,0,0,0,1,2018,149,0,Nannu Dochukunduvate,Sudheer Babu Posani,1,5,161002,Sudheer Babu Posani,2,6.5,161002,Nabha Natesh,1,5,78762,Rajsekhar Aningi,2,6.5,0,B. Ajaneesh Loknath,3,7,0,R.S. Naidu,1,5,0,5.83,400766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
3802668,5.6,5831000,1400000,1705,675101,0,0,0,0,0,0,0,0,0,0,1,0,2014,160,0,Govindudu Andari Vaadele,Appa Rao Vakada,1,7,0,Ram Charan,15,6.87,5051308,Kajal Aggarwal,16,7.13,23797141,Srikanth,7,7.29,4450,Yuvan Shankar Raja,63,7.13,0,Krishna Vamsi,6,6.5,245063,6.99,29097962,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1999250,4.4,91583,840000,139,675101,0,0,0,0,0,0,0,1,0,0,0,0,2011,140,0,Singam Puli,Vasan,1,5,0,Jiiva,12,5.67,0,Ramya,2,7.5,0,Honey Rose,1,5,0,Mani Sharma,64,6.66,0,Sai Ramani,1,5,0,5.81,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
8011324,7.1,11159,1400000,648,675101,0,0,1,0,0,0,0,0,0,0,0,0,2018,173,0,Seethakaathi,Arun Vaidyanathan,2,5.5,0,Vijay Sethupathi,16,7.56,3381326,Archana,2,7,4468028,Mouli,3,6,0,Govind Menon,5,7.2,0,Balaji Tharaneetharan,2,7,0,6.71,7849354,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1503178,5.5,127667,1400000,351,675101,0,0,0,1,0,0,0,0,0,0,0,0,2010,160,0,Theeradha Vilaiyattu Pillai,Vikram Krishna,5,5.2,0,Vishal,15,6.13,321063,Sarah-Jane Dias,3,6,5340,Neetu Chandra,3,6.67,1163712,Yuvan Shankar Raja,63,7.13,0,Thiru,1,5,3643,6.02,1493758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
10585038,3.7,373271,140000,130,675101,0,0,0,0,0,0,0,0,1,0,0,0,2019,98,0,Bhoot Chaturdashi, Unknown,419,6.72,411821,Mrinmoy Adhikari,1,6,0,Soumendra Bhattacharya,1,6,0,Aryann Bhowmick,1,6,0, Unknown,427,6.54,38071,Shabbir Mallick,1,6,0,6.21,449892,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6270936,7.9,44787,1400000,1300,675101,0,0,0,0,0,0,0,0,0,1,0,0,2017,119,0,Aramm,Kotapadi Ramesh,1,8,49564,Nayanthara,7,5.86,200416,Ramachandran Durairaj,1,8,0,Sunu Lakshmi,1,8,0, Unknown,427,6.54,38071,Gopi Nainar,1,8,10587,7.4,298638,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
8919390,5.6,4738,1400000,89,675101,0,0,0,0,0,0,1,0,0,0,0,0,2019,128,0,Rustum,Jayanna,3,7,0,Shivarajkumar,4,7,153513,Shraddha Srinath,4,6.25,197713,Sakshi Chaudhary,1,5,39159, Unknown,427,6.54,38071,Ravi Varma,2,5.5,30920,6.22,459376,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0
3563156,4.9,296477,10500000,3650,675101,0,1,0,0,0,0,0,0,0,0,0,0,2014,166,0,Anjaan,G.R. Venkatesh,2,6,0,Suriya,23,7.22,0,Samantha Ruth Prabhu,15,7.47,82034,Vidyut Jammwal,3,7,0,Yuvan Shankar Raja,63,7.13,0,Suresh,3,4.67,110426,6.58,192460,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0
3920648,5.9,373271,1400000,97,675101,0,0,0,0,0,0,0,0,0,0,0,0,2014,157,0,Megha,Selvakumar,1,6,0,Ashwin Kakumanu,1,6,4776,Srushti Dange,1,6,81663,Angana Roy,1,6,120652,Ilaiyaraaja,76,7.53,0,Karthick Rishi,1,6,0,6.26,207091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
